16,1024
1017.45, 1369.73, 5000.00
1000145.50, 1000777.12, 5000.00
1999576.82, 2000591.17, 5000.00
2998549.46, 2999831.84, 5000.00
1441.55, 4000773.41, 5000.00
1000368.73, 5000160.75, 5000.00
1999613.38, 6000094.72, 5000.00
2998517.39, 6999483.50, 5000.00
1482.61, 8000516.50, 5000.00
1000386.62, 8999905.28, 5000.00
1999631.27, 9999839.25, 5000.00
2998558.45, 10999226.59, 5000.00
1450.54, 12000168.16, 5000.00
1000423.18, 12999408.83, 5000.00
1999854.50, 13999222.88, 5000.00
2998982.55, 14998630.27, 5000.00
3053.56, 4110.83, 5000.00
1000436.22, 1002331.35, 5000.00
1998731.02, 2001774.44, 5000.00
2995646.74, 2999494.36, 5000.00
4326.17, 4002321.55, 5000.00
1001105.74, 5000481.70, 5000.00
1998840.60, 6000284.70, 5000.00
2995550.70, 6998449.14, 5000.00
4449.30, 8001550.86, 5000.00
1001159.40, 8999715.30, 5000.00
1998894.26, 9999518.30, 5000.00
2995673.83, 10997678.45, 5000.00
4353.26, 12000505.64, 5000.00
1001268.98, 12998225.56, 5000.00
1999563.78, 13997668.65, 5000.00
2996946.44, 14995889.17, 5000.00
5602.04, 7541.75, 5000.00
1000798.88, 1004274.11, 5000.00
1997675.34, 2003256.05, 5000.00
2992013.81, 2999069.25, 5000.00
7936.13, 4004260.39, 5000.00
1002025.80, 5000881.38, 5000.00
1997875.92, 6000523.69, 5000.00
2991838.27, 6997152.44, 5000.00
8161.73, 8002847.56, 5000.00
1002124.08, 8999476.31, 5000.00
1997974.20, 9999118.62, 5000.00
2992063.87, 10995739.61, 5000.00
7986.19, 12000930.75, 5000.00
1002324.66, 12996743.95, 5000.00
1999201.12, 13995725.89, 5000.00
2994397.96, 14992458.25, 5000.00
8410.98, 11323.37, 5000.00
1001196.52, 1006411.06, 5000.00
1996516.76, 2004890.10, 5000.00
2988009.97, 2998596.17, 5000.00
11914.12, 4006399.28, 5000.00
1003035.80, 5001318.45, 5000.00
1996816.98, 6000789.14, 5000.00
2987747.80, 6995719.78, 5000.00
12252.20, 8004280.22, 5000.00
1003183.02, 8999210.86, 5000.00
1996964.20, 9998681.55, 5000.00
2988085.88, 10993600.72, 5000.00
11990.03, 12001403.83, 5000.00
1003483.24, 12995109.90, 5000.00
1998803.48, 13993588.94, 5000.00
2991589.02, 14988676.63, 5000.00
11355.09, 15287.04, 5000.00
1001610.51, 1008645.01, 5000.00
1995309.09, 2006604.14, 5000.00
2983813.99, 2998094.27, 5000.00
16082.28, 4008643.61, 5000.00
1004088.93, 5001771.93, 5000.00
1995712.88, 6001070.12, 5000.00
2983462.32, 6994213.58, 5000.00
16537.68, 8005786.42, 5000.00
1004287.12, 8998929.88, 5000.00
1995911.07, 9998228.07, 5000.00
2983917.72, 10991356.39, 5000.00
16186.01, 12001905.73, 5000.00
1004690.91, 12993395.86, 5000.00
1998389.49, 13991354.99, 5000.00
2988644.91, 14984712.96, 5000.00
14372.07, 19348.90, 5000.00
1002031.41, 1010927.30, 5000.00
1994079.46, 2008362.28, 5000.00
2979514.76, 2997572.77, 5000.00
20352.13, 4010946.50, 5000.00
1005161.60, 5002231.10, 5000.00
1994588.35, 6001361.35, 5000.00
2979072.94, 6992664.64, 5000.00
20927.06, 8007335.36, 5000.00
1005411.65, 8998638.65, 5000.00
1994838.40, 9997768.90, 5000.00
2979647.87, 10989053.50, 5000.00
20485.24, 12002427.23, 5000.00
1005920.54, 12991637.72, 5000.00
1997968.59, 13989072.70, 5000.00
2985627.93, 14980651.10, 5000.00
17430.97, 23467.30, 5000.00
1002454.42, 1013233.56, 5000.00
1992841.59, 2010146.77, 5000.00
2975156.46, 2997036.04, 5000.00
24679.68, 4013284.74, 5000.00
1006241.90, 5002690.47, 5000.00
1993455.89, 6001660.36, 5000.00
2974624.97, 6991088.11, 5000.00
25375.03, 8008911.89, 5000.00
1006544.11, 8998339.64, 5000.00
1993758.10, 9997309.53, 5000.00
2975320.32, 10986715.26, 5000.00
24843.54, 12002963.96, 5000.00
1007158.41, 12989853.23, 5000.00
1997545.58, 13986766.44, 5000.00
2982569.03, 14976532.70, 5000.00
20516.48, 27621.61, 5000.00
1002877.06, 1015551.52, 5000.00
1991602.47, 2011948.91, 5000.00
2970760.97, 2996486.08, 5000.00
29043.11, 4015646.92, 5000.00
1007323.76, 5003147.14, 5000.00
1992321.87, 6001966.03, 5000.00
2970140.89, 6989491.37, 5000.00
29859.11, 8010508.63, 5000.00
1007678.13, 8998033.97, 5000.00
1992676.24, 9996852.86, 5000.00
2970956.89, 10984353.08, 5000.00
29239.03, 12003513.92, 5000.00
1008397.53, 12988051.09, 5000.00
1997122.94, 13984448.48, 5000.00
2979483.52, 14972378.39, 5000.00
23621.02, 31801.65, 5000.00
1003298.02, 1017875.00, 5000.00
