64, 1024
0, 0, 5000
1000000, 1000000, 5000
2000000, 2000000, 5000
3000000, 3000000, 5000
4000000, 4000000, 5000
5000000, 5000000, 5000
6000000, 6000000, 5000
7000000, 7000000, 5000
0, 8000000, 5000
1000000, 9000000, 5000
2000000, 10000000, 5000
3000000, 11000000, 5000
4000000, 12000000, 5000
5000000, 13000000, 5000
6000000, 14000000, 5000
7000000, 15000000, 5000
0, 16000000, 5000
1000000, 17000000, 5000
2000000, 18000000, 5000
3000000, 19000000, 5000
4000000, 20000000, 5000
5000000, 21000000, 5000
6000000, 22000000, 5000
7000000, 23000000, 5000
0, 24000000, 5000
1000000, 25000000, 5000
2000000, 26000000, 5000
3000000, 27000000, 5000
4000000, 28000000, 5000
5000000, 29000000, 5000
6000000, 30000000, 5000
7000000, 31000000, 5000
0, 32000000, 5000
1000000, 33000000, 5000
2000000, 34000000, 5000
3000000, 35000000, 5000
4000000, 36000000, 5000
5000000, 37000000, 5000
6000000, 38000000, 5000
7000000, 39000000, 5000
0, 40000000, 5000
1000000, 41000000, 5000
2000000, 42000000, 5000
3000000, 43000000, 5000
4000000, 44000000, 5000
5000000, 45000000, 5000
6000000, 46000000, 5000
7000000, 47000000, 5000
0, 48000000, 5000
1000000, 49000000, 5000
2000000, 50000000, 5000
3000000, 51000000, 5000
4000000, 52000000, 5000
5000000, 53000000, 5000
6000000, 54000000, 5000
7000000, 55000000, 5000
0, 56000000, 5000
1000000, 57000000, 5000
2000000, 58000000, 5000
3000000, 59000000, 5000
4000000, 60000000, 5000
5000000, 61000000, 5000
6000000, 62000000, 5000
7000000, 63000000, 5000
1100, 1284, 5000
1000370, 1000607, 5000
2000151, 2000461, 5000
3000005, 3000406, 5000
3999862, 4000361, 5000
4999692, 5000281, 5000
5999434, 6000093, 5000
6998659, 6999366, 5000
1332, 8001016, 5000
1000560, 9000320, 5000
2000290, 10000171, 5000
3000090, 11000131, 5000
3999899, 12000118, 5000
4999695, 13000079, 5000
5999418, 13999930, 5000
6998635, 14999235, 5000
1363, 16000924, 5000
1000581, 17000233, 5000
2000303, 18000090, 5000
3000097, 19000057, 5000
3999901, 20000051, 5000
4999694, 21000018, 5000
5999414, 21999875, 5000
6998630, 22999186, 5000
1370, 24000879, 5000
1000585, 25000190, 5000
2000306, 26000049, 5000
3000098, 27000018, 5000
3999901, 28000014, 5000
4999694, 28999983, 5000
5999414, 29999841, 5000
6998629, 30999153, 5000
1371, 32000847, 5000
1000586, 33000159, 5000
2000306, 34000017, 5000
3000099, 34999986, 5000
3999902, 35999982, 5000
4999694, 36999951, 5000
5999415, 37999810, 5000
6998630, 38999121, 5000
1370, 40000814, 5000
1000586, 41000125, 5000
2000306, 41999982, 5000
3000099, 42999949, 5000
3999903, 43999943, 5000
4999697, 44999910, 5000
5999419, 45999767, 5000
6998637, 46999076, 5000
1365, 48000765, 5000
1000582, 49000070, 5000
2000305, 49999921, 5000
3000101, 50999882, 5000
3999910, 51999869, 5000
4999710, 52999829, 5000
5999440, 53999680, 5000
6998668, 54998984, 5000
1341, 56000634, 5000
1000566, 56999907, 5000
2000308, 57999719, 5000
3000138, 58999639, 5000
3999995, 59999594, 5000
4999849, 60999539, 5000
5999630, 61999393, 5000
6998900, 62998716, 5000
3301, 3853, 5000
1001108, 1001820, 5000
2000452, 2001382, 5000
3000015, 3001217, 5000
3999586, 4001083, 5000
4999076, 5000844, 5000
5998302, 6000281, 5000
6995976, 6998096, 5000
3997, 8003049, 5000
1001679, 9000960, 5000
2000870, 10000512, 5000
3000271, 11000392, 5000
3999698, 12000355, 5000
4999087, 13000237, 5000
5998255, 13999792, 5000
6995904, 14997705, 5000
4089, 16002772, 5000
1001741, 17000698, 5000
2000909, 18000269, 5000
3000290, 19000170, 5000
3999703, 20000153, 5000
4999082, 21000055, 5000
5998244, 21999627, 5000
6995888, 22997555, 5000
4110, 24002639, 5000
1001755, 25000570, 5000
2000917, 26000146, 5000
3000294, 27000053, 5000
3999704, 28000041, 5000
4999081, 28999948, 5000
5998242, 29999524, 5000
6995885, 30997457, 5000
4115, 32002543, 5000
